city,latitude,longitude,snowy_weather_count,avg_temperature,avg_humidity,avg_pressure,avg_wind_speed,avg_wind_direction,pca1,pca2,pca3
Albuquerque,35.084492,-106.651138,25,34.25216000000003,79.6,1010.12,4.6,202.24,0.5336967625756216,-0.08060821024783722,-0.16327536388607722
Atlanta,33.749001,-84.387978,20,33.06110000000004,67.7,1021.25,3.95,316.9,-0.0593352948074232,-0.4795855298573544,-0.13256205059834789
Boston,42.358429,-71.059769,116,27.990034482758663,78.29310344827586,1016.2413793103449,5.448275862068965,210.01724137931035,-0.026747825570178272,0.20774627413435495,0.03420108558378219
Charlotte,35.227089,-80.843132,4,31.968500000000027,89.75,1015.5,3.75,100.0,0.7219778362493695,0.023902975165976392,0.38258383323108114
Chicago,41.850029,-87.650047,150,32.17368395349204,79.78666666666666,1015.36,5.006666666666667,238.63333333333333,0.14992942933771689,0.17565528323756133,-0.23726043709495306
Dallas,32.783058,-96.806671,10,24.29420000000004,63.8,1027.0,6.5,252.0,-0.7129552824777143,-0.3159094467662367,0.31464783763128645
Denver,39.739151,-104.984703,134,26.486358208955266,79.70149253731343,1016.5597014925373,2.417910447761194,162.61194029850745,0.24632622641191002,0.3793055841492193,0.3852625808887007
Detroit,42.331429,-83.045753,270,26.858910464060035,70.0925925925926,1014.8703703703703,4.555555555555555,244.65925925925927,-0.26564117060128084,0.604510471700405,-0.21432220487400053
Houston,29.763281,-95.363274,1,37.562000000000054,75.0,1017.0,3.0,340.0,0.3930653336906502,-0.5685581930819127,-0.3223283162028254
Indianapolis,39.768379,-86.158043,76,27.815772491576354,78.73684210526316,1017.8026315789474,5.434210526315789,262.9605263157895,-0.10468361230796278,0.0006818405683212851,0.03854886344241531
Kansas City,39.099731,-94.578568,34,25.382882352941213,67.11764705882354,1021.2941176470588,3.764705882352941,247.85294117647058,-0.2642833927145218,-0.14205280163621045,0.33925740620593753
Minneapolis,44.979969,-93.26384,255,25.476644767555328,75.14509803921568,1013.8588235294118,4.905882352941177,214.68235294117648,-0.19115240071264922,0.6833026249462455,-0.0833996093167357
Nashville,36.16589,-86.784439,8,24.440000000000047,68.875,1022.75,3.75,321.25,-0.38916208908150474,-0.31047778277606985,0.33035907661933667
New York,40.714272,-74.005966,95,27.69743157894741,59.252631578947366,1016.9473684210526,5.3578947368421055,256.2526315789474,-0.40002834117089375,-0.013939126394074833,-0.11433395264644151
Philadelphia,39.952339,-75.163788,76,30.32955263157899,66.0,1010.671052631579,4.565789473684211,245.32894736842104,0.051958770945131266,0.027632025269068678,-0.20852981129639367
Pittsburgh,40.44062,-79.995888,282,25.41955762720428,66.44680851063829,1017.4574468085107,5.156028368794326,271.2482269503546,-0.5382759484115474,0.5716307304249886,-0.2285937683430941
Portland,45.523449,-122.676208,18,32.78800000000004,73.55555555555556,1012.6111111111111,4.333333333333333,134.44444444444446,0.44959517849990754,-0.03818895955902706,0.05925197729731771
Saint Louis,38.62727,-90.197891,43,26.60544186046516,72.20930232558139,1021.3488372093024,4.767441860465116,295.4651162790698,-0.299003282873476,-0.19731250328870414,0.15191569207047945
San Francisco,37.774929,-122.419418,1,33.944000000000074,68.0,1022.0,6.0,360.0,-0.26156067413415063,-0.6377393983954726,-0.34706158458170744
Seattle,47.606209,-122.332069,43,35.083023255813984,90.23255813953489,1008.5813953488372,3.0697674418604652,148.37209302325581,0.9662797771529952,0.11000414240675908,0.015638745870239383
